feature,cluster_id,cluster_size,model_importance,label_corr_abs,nan_rate,kept_as_representative
t5_uo,47,1,0.00092,0.156,0.0315,True
t5_bbp_20_2_0_2_0,48,1,0.00057,0.0279,0.0233,True
t10_roc_10,50,1,0.00058,0.0322,0.0177,True
t10_roc_20,51,1,0.00022,0.0041,0.028,True
t10_cmf_20,57,1,0.00067,0.1858,0.0311,True
t3_mfi_14,58,1,0.00162,0.0597,0.0168,True
t5_mfi_14,59,1,0.00066,0.0429,0.0169,True
t10_mfi_14,60,1,0.00085,0.0211,0.023,True
t10_stochd_5_3_1,61,1,0.00043,0.1228,0.016,True
t10_stochk_5_3_1,62,1,8e-05,0.1042,0.016,True
t10_uo,66,1,0.00064,0.1537,0.0365,True
t10_supertd_10_3,68,1,0.0,0.0627,0.018,True
t10_aroond_25,70,1,0.00117,0.116,0.0309,True
t10_dmn_14,79,1,0.00147,0.0484,0.0225,True
t10_dmp_14,82,1,0.00111,0.1035,0.0225,True
t1_open_Volume_MA5,83,1,0.00185,0.0416,0.6811,True
t1_open_Volume_MA10,84,1,0.00224,0.1602,0.6811,True
t1_open_Volume_Ratio,85,1,0.0011,0.1449,0.6811,True
t1_close_Volume_MA5,86,1,0.00119,0.0246,0.6809,True
t1_close_Volume_MA10,87,1,0.00139,0.0653,0.6809,True
t1_close_Volume_Ratio,88,1,0.00143,0.0978,0.6809,True
t10_cci_14,90,1,0.00095,0.1274,0.0238,True
t10_stochh_14_3_3,94,1,0.00099,0.0201,0.0249,True
t10_stochh_5_3_1,95,1,0.0011,0.0196,0.016,True
has_t1_features,96,1,0.0,0.1006,0.0,True
t5_stochh_5_3_1,97,1,0.00101,0.0025,0.0152,True
t3_stochh_5_3_1,98,1,0.00086,0.0043,0.015,True
t10_hv_10,104,1,0.00115,0.42,0.0173,True
t10_bbb_20_2_0_2_0,106,1,0.00062,0.3925,0.0277,True
t1_close_BBB_20_2.0_2.0,108,1,0.0055,0.4462,0.6809,True
t1_close_ATR_14,111,1,0.00106,0.1922,0.6829,True
t1_open_ATR_14,112,1,0.00082,0.1556,0.6829,True
t1_close_ATR_14_Slope,113,1,0.00113,0.0009,0.6849,True
t1_open_ATR_14_Slope,114,1,0.00173,0.0003,0.6849,True
t1_close_ADX_14,115,1,0.00054,0.0775,0.6829,True
t1_open_ADX_14,116,1,0.00078,0.159,0.6829,True
t1_open_BBB_20_2.0_2.0,118,1,0.00133,0.3183,0.6812,True
t1_open_Volume,119,1,0.00994,0.0776,0.6809,True
t1_open_TSIs_13_25_13,120,1,0.00075,0.0328,0.6812,True
t1_open_DMN_14,126,1,0.0003,0.1477,0.6829,True
t1_open_STOCHd_14_3_3,127,1,0.00021,0.0459,0.6812,True
t1_open_TSI_13_25_13,128,1,0.0004,0.013,0.6812,True
t1_open_CMF_20,129,1,0.00013,0.0471,0.6811,True
t1_close_ROC_10,133,1,0.00019,0.006,0.6809,True
t1_close_TSIs_13_25_13,134,1,0.00038,0.0268,0.681,True
t1_close_STOCHd_14_3_3,136,1,0.00048,0.0232,0.6809,True
t1_close_UO,137,1,0.00034,0.0237,0.6809,True
t1_close_TSI_13_25_13,138,1,0.00013,0.0105,0.6809,True
t1_close_DMN_14,139,1,0.00027,0.422,0.6829,True
t1_close_CMF_20,140,1,0.00031,0.0004,0.6809,True
t1_close_DMP_14,141,1,0.00052,0.4309,0.6829,True
t1_close_Volume,142,1,0.01731,0.2198,0.6809,True
t1_close_Gap_Pct,143,1,0.0009,0.0309,0.6809,True
t10_atr_14_slope,144,1,0.01363,0.0037,0.0261,True
t5_macd_roc,145,1,0.00082,0.0112,0.0293,True
t3_macd_roc,146,1,0.0012,0.006,0.0286,True
t10_macd_roc,147,1,0.00088,0.0027,0.0335,True
t1_close_AROONU_25,148,1,0.0,0.0,1.0,True
t1_close_AROOND_25,149,1,0.0,0.0,1.0,True
t1_close_AROONOSC_25,150,1,0.0,0.0,1.0,True
t1_close_Volume_MA20,151,1,0.0,0.0,0.6809,True
t1_open_AROONU_25,152,1,0.0,0.0,1.0,True
t1_open_AROOND_25,153,1,0.0,0.0,1.0,True
t1_open_AROONOSC_25,154,1,0.0,0.0,1.0,True
t1_open_Volume_MA20,155,1,0.0,0.0,0.6809,True
